Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	21:44 3/1/2022	131
Jim	21:45 3/1/2022	127
Tom	21:45 3/1/2022	107
Mike	16:57 3/2/2022	83
Jim	16:57 3/2/2022	126
Mike	17:54 3/2/2022	122
Jim	17:54 3/2/2022	128
Mike	18:4 3/2/2022	170
Jim	18:4 3/2/2022	124
Mike	18:10 3/2/2022	154
Jim	21:14 3/2/2022	105
Mike	21:14 3/2/2022	158
Mike	1:8 3/4/2022	99
Jim	1:8 3/4/2022	111
Mike	1:15 3/4/2022	97
Mike	1:17 3/4/2022	154
Jim	1:17 3/4/2022	147
